Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-01-30,341.1000061,348.2000122,339.25,347.7399902,347.7399902,5328100,338.5199997,353.8927855,323.1472139,4.064595184,3.198169905,57.56688045,Medium
2020-01-31,347.3900146,347.3900146,340.980011,345.0899963,345.0899963,5230000,339.2839996,354.3498821,324.2181171,3.967748911,3.352085706,55.22938666,Medium
2020-02-03,347.2399902,359.6300049,346.2799988,358,358,6670600,340.8889999,356.7687813,325.0092186,4.876513531,3.656971271,63.09196325,High
2020-02-04,361,369.5700073,356.1000061,369.0100098,369.0100098,7161500,342.5480011,362.5897853,322.5062169,6.411227178,4.207822452,68.2181766,High
2020-02-05,375.1300049,375.25,362.2999878,369.6700134,369.6700134,6437000,344.4940018,367.1056878,321.8823157,7.593225601,4.884903082,68.50061332,High
2020-02-06,369.6000061,371.5499878,362.5100098,366.9500122,366.9500122,3920400,345.8785019,370.4470336,321.3099702,8.215780102,5.551078486,65.90138561,High
2020-02-07,365.0400085,371.7999878,363.5700073,366.769989,366.769989,4385200,347.4340012,373.1891459,321.6788564,8.595548529,6.159972495,65.72363321,High
2020-02-10,365,374.7999878,362.519989,371.0700073,371.0700073,5294100,349.5350021,375.825726,323.2442782,9.13815433,6.755608862,67.94750286,High
2020-02-11,373.75,378.1099854,369.7200012,373.6900024,373.6900024,4772900,351.2735016,379.1587881,323.3882151,9.668136784,7.338114446,69.25633816,High
2020-02-12,377.1799927,380.6199951,375.8800049,380.0100098,380.0100098,4624800,353.339502,383.3416914,323.3373125,10.47734713,7.965960984,72.20479513,High
2020-02-13,376.9599915,385.3699951,376.5100098,381.3999939,381.3999939,4485400,355.4560013,387.1446357,323.7673669,11.1028258,8.593333947,72.82214495,High
2020-02-14,381.4700012,385.1499939,379.4299927,380.3999939,380.3999939,3736300,357.5450012,390.0582491,325.0317533,11.38657319,9.151981795,71.59020402,High
2020-02-18,379.2999878,389.5400085,379.1900024,387.7799988,387.7799988,5173900,359.9505005,393.9789405,325.9220605,12.06783921,9.735153278,74.95725492,High
2020-02-19,388.1199951,392.9500122,384.8999939,386.1900024,386.1900024,4896400,362.3545013,396.6783734,328.0306293,12.33723209,10.25556904,72.95122092,High
2020-02-20,386.5599976,389.7000122,376.6799927,386,386,4079400,365.3545013,396.6546401,334.0543626,12.39254276,10.68296379,72.70083393,High
2020-02-21,385.3299866,387.3200073,377.8999939,380.0700073,380.0700073,3930100,366.8780014,397.9144476,335.8415552,11.82160393,10.91069181,65.18144067,High
2020-02-24,364.7600098,372.8200073,361,368.7000122,368.7000122,6936400,367.6550018,398.016166,337.2938376,10.33255989,10.79506543,53.71062247,Medium
2020-02-25,372,375.6499939,357.7200012,360.0899963,360.0899963,6481200,368.5155014,396.8264479,340.2045549,8.361341098,10.30832056,46.96973729,Medium
2020-02-26,366.3099976,382,365,379.2399902,379.2399902,8934100,370.0515015,397.0999152,343.0030878,8.249287814,9.896514013,59.22668076,Medium
2020-02-27,371.4599915,391.5599976,370.6000061,371.7099915,371.7099915,10967700,371.4790009,395.3824122,347.5755895,7.466804139,9.410572038,53.94667899,Medium
2020-02-28,364.2099915,376.769989,356.7999878,369.0299988,369.0299988,11168600,372.5435013,393.7384155,351.348587,6.554866754,8.839430981,52.16424687,Medium
2020-03-02,373.1099854,381.3599854,364.5,381.0499878,381.0499878,6997900,374.3415009,391.4345908,357.2484109,6.724546083,8.416454002,58.74767192,Medium
2020-03-03,381.0299988,393.519989,367.3999939,368.769989,368.769989,8364600,374.8800003,390.4128019,359.3471987,5.801251682,7.893413538,51.02200876,Medium
2020-03-04,377.769989,384.0100098,370.5100098,383.7900085,383.7900085,5487300,375.6190002,391.3805904,359.8574101,6.209939944,7.556718819,58.25341727,Medium
2020-03-05,381,391.3999939,368.6400146,372.7799988,372.7799988,8747000,375.7744995,391.3492265,360.1997725,5.581077376,7.16159053,52.17254552,Medium
2020-03-06,367.7000122,371.3099976,356.8500061,368.9700012,368.9700012,8147200,375.875499,391.2339746,360.5170233,4.720845333,6.673441491,50.21895394,Medium
2020-03-09,343.8599854,357.4700012,341.7200012,346.4899902,346.4899902,7405500,374.861499,394.7584814,354.9645166,2.199798322,5.778712857,40.56689398,Medium
2020-03-10,356.4299927,364.5400085,347.8500061,364.1300049,364.1300049,7604400,374.5144989,394.9253239,354.1036739,1.606730769,4.944316439,48.87122812,Medium
2020-03-11,358.9200134,362.980011,344.7900085,349.9200134,349.9200134,6036000,373.3259995,396.5177255,350.1342734,-0.009794191,3.953494313,43.58774474,Medium
2020-03-12,326.5,335.7200012,307.3200073,315.25,315.25,12071600,370.087999,404.6476941,335.5283038,-4.041889813,2.354417488,33.94522285,Low
2020-03-13,330.5100098,336.4200134,307.3900146,336.2999878,336.2999878,9458200,367.8329987,405.0669319,330.5990655,-5.475676361,0.788398718,42.29243591,Medium
2020-03-16,306.6300049,334.3500061,294.75,298.8399963,298.8399963,10559900,363.7549988,411.5588542,315.9511434,-9.524873957,-1.274255817,34.04695405,Low
